App,JA3,Ciphers,Curves,Host,Sni,Subject
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,9A9A01130213021303132BC02FC02CC0,AAAA1D0017001800,d27xxe7juh1us6.cloudfront.net,d27xxe7juh1us6.cloudfront.net,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,4A4A01130213021303132BC02FC02CC0,4A4A1D0017001800,edge.microsoft.com,edge.microsoft.com,edge.microsoft.com
pwsh,3B5074B1B5D032E5620F69F9F700FF0E,2CC02BC030C02FC09F009E0024C023C0,1D0017001800,dc.services.visualstudio.com,dc.services.visualstudio.com,in.applicationinsights.azure.com
chrome,732EFDC6C8DDA7091320E557F44F8DF6,DADA0113021303132BC02FC02CC030C0,6A6A1D0017001800,safebrowsing.googleapis.com,content-autofill.googleapis.com,
chrome,06721B9BFCEC0BD2EAD1B153B601B88D,8A8A0113021303132BC02FC02CC030C0,3A3A1D0017001800,log-gateway.zoom.us,log-gateway.zoom.us,*.zoom.us
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,7A7A01130213021303132BC02FC02CC0,3A3A1D0017001800,functional.events.data.microsoft.com,functional.events.data.microsoft.com,*.events.data.microsoft.com
chrome,06D30AA55EB2BC423ACB23030C82CB81,8A8A0113021303132BC02FC02CC030C0,FAFA1D0017001800,rollout.ada.support,rollout.ada.support,
chrome,2EA1E90C11F05ABF54DDCA5AE49400D0,9A9A0113021303132BC02FC02CC030C0,3A3A1D0017001800,static.ada.support,static.ada.support,
chrome,2D6FBCE2EADA18054F57830C6BC9D8EE,EAEA0113021303132BC02FC02CC030C0,0A0A1D0017001800,static.ada.support,static.ada.support,
Zoom,366D007990AF3B100F90C88FCFF57A8A,021301132CC02BC030C02FC09F009E00,1D0017001E0019001800,www3.zoom.us,www3.zoom.us,
chrome,E48110B7B4EE94398D52D1AB89636EFD,CACA0113021303132BC02FC02CC030C0,BABA1D0017001800,us02web.zoom.us,us02web.zoom.us,
,72054CAF300E0550ACACEB4BE541744F,7A7A0113021303132BC02FC02CC030C0,6A6A1D0017001800,us02web.zoom.us,us02web.zoom.us,
Zoom,366D007990AF3B100F90C88FCFF57A8A,021301132CC02BC030C02FC09F009E00,1D0017001E0019001800,www3.zoom.us,zoom.us,
chrome,71F5E86CE066886DC52C7E61E662B95D,CACA0113021303132BC02FC02CC030C0,3A3A1D0017001800,geolocation.onetrust.com,geolocation.onetrust.com,
,832952DB10F1453442636675BED2702B,02130313011330C09F00A8CCAACC2FC0,1D0017001E0019001800,zoomff134-224-96-1zc.cloud.zoom.us,zoomff134-224-96-1zc.cloud.zoom.us,*.cloud.zoom.us
Zoom,366D007990AF3B100F90C88FCFF57A8A,021301132CC02BC030C02FC09F009E00,1D0017001E0019001800,www3.zoom.us,zoom.us,
Zoom,7A8CB31783DCD20D51D1DBA4E75167AD,0213031301132CC030C09F00A9CCA8CC,1D0017001E0019001800,lh5.googleusercontent.com,lh3.googleusercontent.com,
,832952DB10F1453442636675BED2702B,02130313011330C09F00A8CCAACC2FC0,1D0017001E0019001800,zoomff134-224-96-0zc.cloud.zoom.us,zoomff134-224-96-0zc.cloud.zoom.us,*.cloud.zoom.us
chrome,715D0F0636D0378D6410CAA589BCEB7B,0A0A0113021303132BC02FC02CC030C0,CACA1D0017001800,beacons.gvt2.com,beacons3.gvt2.com,
,769943EB107105249C6292AED4D695A4,7A7A0113021303132BC02FC02CC030C0,6A6A1D0017001800,google.com,google.com,
Zoom,366D007990AF3B100F90C88FCFF57A8A,021301132CC02BC030C02FC09F009E00,1D0017001E0019001800,cdn.zoom.us,cdn.zoom.us,
Zoom,832952DB10F1453442636675BED2702B,02130313011330C09F00A8CCAACC2FC0,1D0017001E0019001800,zoomff134-224-97-137mmr.cloud.zoom.us,zoomff134-224-97-137mmr.cloud.zoom.us,*.cloud.zoom.us
chrome,5452D5D304DE40755FE97CA1D4B3ABB9,4A4A0113021303132BC02FC02CC030C0,9A9A1D0017001800,google.com,google.com,
,FB0AA01ABE9D8E4037EB3473CA6E2DCA,2BC02FC0A9CCA8CC2CC030C00AC009C0,1D00170018001900,prod.ingestion-edge.prod.dataops.mozgcp.net,incoming.telemetry.mozilla.org,*.telemetry.mozilla.org
,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,firefox.settings.services.mozilla.com,firefox.settings.services.mozilla.com,
,FB0AA01ABE9D8E4037EB3473CA6E2DCA,2BC02FC0A9CCA8CC2CC030C00AC009C0,1D00170018001900,prod.ingestion-edge.prod.dataops.mozgcp.net,incoming.telemetry.mozilla.org,*.telemetry.mozilla.org
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,contile.services.mozilla.com,contile.services.mozilla.com,
,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,firefox.settings.services.mozilla.com,firefox.settings.services.mozilla.com,
,FB0AA01ABE9D8E4037EB3473CA6E2DCA,2BC02FC0A9CCA8CC2CC030C00AC009C0,1D00170018001900,prod.ingestion-edge.prod.dataops.mozgcp.net,incoming.telemetry.mozilla.org,*.telemetry.mozilla.org
,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,safebrowsing.googleapis.com,safebrowsing.googleapis.com,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,www.google.com,www.google.com,
firefox,FB0AA01ABE9D8E4037EB3473CA6E2DCA,2BC02FC0A9CCA8CC2CC030C00AC009C0,1D00170018001900,prod.balrog.prod.cloudops.mozgcp.net,aus5.mozilla.org,aus5.mozilla.org
firefox,FB0AA01ABE9D8E4037EB3473CA6E2DCA,2BC02FC0A9CCA8CC2CC030C00AC009C0,1D00170018001900,content-signature-2.cdn.mozilla.net,content-signature-2.cdn.mozilla.net,content-signature-2.cdn.mozilla.net
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,firefox.settings.services.mozilla.com,firefox.settings.services.mozilla.com,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,push.services.mozilla.com,push.services.mozilla.com,push.services.mozilla.com
,FB0AA01ABE9D8E4037EB3473CA6E2DCA,2BC02FC0A9CCA8CC2CC030C00AC009C0,1D00170018001900,firefox.settings.services.mozilla.com,firefox.settings.services.mozilla.com,main-2-cdn.prod.kinto.prod.cloudops.mozgcp.net
,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,shavar.services.mozilla.com,shavar.services.mozilla.com,*.services.mozilla.com
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,i.ytimg.com,i.ytimg.com,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,prod.ingestion-edge.prod.dataops.mozgcp.net,incoming.telemetry.mozilla.org,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,9A9A01130213021303132BC02FC02CC0,FAFA1D0017001800,graph.microsoft.com,graph.microsoft.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,1A1A01130213021303132BC02FC02CC0,7A7A1D0017001800,config.edge.skype.com,config.edge.skype.com,*.config.skype.com
,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,lh5.googleusercontent.com,yt3.ggpht.com,
,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,lh5.googleusercontent.com,yt3.ggpht.com,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,lh5.googleusercontent.com,yt3.ggpht.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,7A7A01130213021303132BC02FC02CC0,7A7A1D0017001800,play.google.com,play.google.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,FAFA01130213021303132BC02FC02CC0,8A8A1D0017001800,google.com,aa.google.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,3A3A01130213021303132BC02FC02CC0,BABA1D0017001800,google.com,ogs.google.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,7A7A01130213021303132BC02FC02CC0,8A8A1D0017001800,sb.scorecardresearch.com,sb.scorecardresearch.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,2A2A01130213021303132BC02FC02CC0,5A5A1D0017001800,a-0003.a-msedge.net,api.msn.com,*.msn.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,FAFA01130213021303132BC02FC02CC0,BABA1D0017001800,adservice.google.com,adservice.google.com,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,jnn-pa.googleapis.com,jnn-pa.googleapis.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,EAEA01130213021303132BC02FC02CC0,8A8A1D0017001800,c.msn.com,c.msn.com,c.msn.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,1A1A01130213021303132BC02FC02CC0,3A3A1D0017001800,c.bing.com,c.bing.com,www.bing.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,EAEA01130213021303132BC02FC02CC0,BABA1D0017001800,play.google.com,play.google.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,FAFA01130213021303132BC02FC02CC0,CACA1D0017001800,ent-api.msn.com,ent-api.msn.com,*.msn.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,6A6A01130213021303132BC02FC02CC0,3A3A1D0017001800,arc.msn.com,arc.msn.com,arc.msn.com
chrome,39B4211DB836AF2549DCB88243BEF08F,1A1A0113021303132BC02FC02CC030C0,0A0A1D0017001800,clients2.google.com,clients2.google.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,EAEA01130213021303132BC02FC02CC0,FAFA1D0017001800,assets.msn.com,assets.msn.com,
lsass,28A2C9BD18A11DE089EF85A160DA29E4,2CC02BC030C02FC024C023C028C027C0,1D0017001800,,login.microsoftonline.com,stamp2.login.microsoftonline.com
,28A2C9BD18A11DE089EF85A160DA29E4,2CC02BC030C02FC024C023C028C027C0,1D0017001800,,login.microsoftonline.com,stamp2.login.microsoftonline.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,FAFA01130213021303132BC02FC02CC0,8A8A1D0017001800,webshell.suite.office.com,webshell.suite.office.com,webshell.suite.office.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,5A5A01130213021303132BC02FC02CC0,EAEA1D0017001800,a-0003.a-msedge.net,ntp.msn.com,*.msn.com
