App,JA3,Ciphers,Curves,Host,Sni,Subject
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,contile.services.mozilla.com,contile.services.mozilla.com,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,www.google.com,www.google.com,
firefox,FB0AA01ABE9D8E4037EB3473CA6E2DCA,2BC02FC0A9CCA8CC2CC030C00AC009C0,1D00170018001900,prod.balrog.prod.cloudops.mozgcp.net,aus5.mozilla.org,aus5.mozilla.org
firefox,FB0AA01ABE9D8E4037EB3473CA6E2DCA,2BC02FC0A9CCA8CC2CC030C00AC009C0,1D00170018001900,content-signature-2.cdn.mozilla.net,content-signature-2.cdn.mozilla.net,content-signature-2.cdn.mozilla.net
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,firefox.settings.services.mozilla.com,firefox.settings.services.mozilla.com,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,push.services.mozilla.com,push.services.mozilla.com,push.services.mozilla.com
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,i.ytimg.com,i.ytimg.com,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,prod.ingestion-edge.prod.dataops.mozgcp.net,incoming.telemetry.mozilla.org,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,lh5.googleusercontent.com,yt3.ggpht.com,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,jnn-pa.googleapis.com,jnn-pa.googleapis.com,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,s3.dzeninfra.ru,s3.dzeninfra.ru,*.dzeninfra.ru
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,static.dzeninfra.ru,static.dzeninfra.ru,*.dzeninfra.ru
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,static.dzeninfra.ru,static.dzeninfra.ru,*.dzeninfra.ru
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,top-fwz1.mail.ru,top-fwz1.mail.ru,*.mail.ru
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,an.yandex.ru,an.yandex.ru,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,yastatic.net,yastatic.net,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,mc.yandex.ru,mc.yandex.ru,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,an.yandex.ru,an.yandex.ru,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,avatars.mds.yandex.net,avatars.mds.yandex.net,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,yastatic.net,yastatic.net,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,s3.dzeninfra.ru,s3.dzeninfra.ru,*.dzeninfra.ru
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,yandex.ru,yandex.ru,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,az725175.vo.msecnd.net,az725175.vo.msecnd.net,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,www.clarity.ms,www.clarity.ms,www.clarity.ms
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,outlook.live.com,outlook.live.com,outlook.com
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,r4.res.office365.com,ow2.res.office365.com,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,vmss-clarity-ingest-eus2-d.eastus2.cloudapp.azure.com,j.clarity.ms,a.clarity.ms
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,suggest.dzen.ru,suggest.dzen.ru,suggest.dzen.ru
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,dzen.ru,dzen.ru,*.dzen.ru
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,static-mon.yandex.net,static-mon.yandex.net,*.naydex.net
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,clck.dzen.ru,clck.dzen.ru,*.dzen.ru
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,clck.dzen.ru,clck.dzen.ru,*.dzen.ru
firefox,E669667EFB41C36F714C309243F41CA7,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,dzen.ru,dzen.ru,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,static-mon.yandex.net,static-mon.yandex.net,*.naydex.net
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,,web.vortex-extended.data.microsoft.com,*.vortex.data.microsoft.com
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,dzen.ru,dzen.ru,*.dzen.ru
firefox,E669667EFB41C36F714C309243F41CA7,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,j.clarity.ms,j.clarity.ms,a.clarity.ms
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,,suggest.dzen.ru,suggest.dzen.ru
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,,clck.dzen.ru,*.dzen.ru
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,,clck.dzen.ru,*.dzen.ru
firefox,E669667EFB41C36F714C309243F41CA7,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,top-fwz1.mail.ru,top-fwz1.mail.ru,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,dzen.ru,dzen.ru,*.dzen.ru
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,irc-ws.chat.twitch.tv,irc-ws.chat.twitch.tv,*.chat.twitch.tv
firefox,E669667EFB41C36F714C309243F41CA7,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,dzen.ru,dzen.ru,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,d186rixkn5ruba.cloudfront.net,static-cdn.jtvnw.net,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,d2v02itv0y9u9t.cloudfront.net,d2v02itv0y9u9t.cloudfront.net,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,sb.scorecardresearch.com,usher.ttvnw.net,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,,clck.dzen.ru,*.dzen.ru
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,static.twitchcdn.net,static.twitchcdn.net,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,pubsub-edge.twitch.tv,pubsub-edge.twitch.tv,pubsub-edge.twitch.tv
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,video-edge-75dc8d.pdx01.abs.hls.ttvnw.net,video-edge-75dc8d.pdx01.abs.hls.ttvnw.net,spade.twitch.tv
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,,web.vortex-extended.data.microsoft.com,*.vortex.data.microsoft.com
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,static.twitchcdn.net,static.twitchcdn.net,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,static.twitchcdn.net,static.twitchcdn.net,
