App,JA3,Host,Sni,Subject
Spotify,CD08E31494F9531F560D64C695473DA9,spclient.wg.spotify.com,spclient.wg.spotify.com,
Spotify,CD08E31494F9531F560D64C695473DA9,spclient.wg.spotify.com,clienttoken.spotify.com,
Spotify,CD08E31494F9531F560D64C695473DA9,apresolve.spotify.com,apresolve.spotify.com,
Spotify,CD08E31494F9531F560D64C695473DA9,gew4-spclient.spotify.com,gew4-spclient.spotify.com,
Spotify,CD08E31494F9531F560D64C695473DA9,update.googleapis.com,update.googleapis.com,
Spotify,,gew4-spclient.spotify.com,,
Spotify,,www.spotify.com,,
Spotify,,www.spotify.com,,
Spotify,,update.googleapis.com,,
Spotify,,apresolve.spotify.com,,
Spotify,CD08E31494F9531F560D64C695473DA9,www.spotify.com,login5.spotify.com,
Spotify,AF0B643BA6479160D5FDB42C09C32B9A,dealer.spotify.com,dealer.spotify.com,*.spotify.com
Spotify,CD08E31494F9531F560D64C695473DA9,www.spotify.com,spclient.wg.spotify.com,
Spotify,CD08E31494F9531F560D64C695473DA9,gew4-dealer.spotify.com,gew4-dealer.spotify.com,
Spotify,CD08E31494F9531F560D64C695473DA9,sentry.io,sentry.io,sentry.io
Spotify,CD08E31494F9531F560D64C695473DA9,cm.g.doubleclick.net,securepubads.g.doubleclick.net,
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,dailymix-images.scdn.co,*.scdn.co
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,i.scdn.co,*.scdn.co
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,i.scdn.co,*.scdn.co
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,dailymix-images.scdn.co,*.scdn.co
Spotify,CD08E31494F9531F560D64C695473DA9,cm.g.doubleclick.net,securepubads.g.doubleclick.net,
Spotify,CD08E31494F9531F560D64C695473DA9,googleads.g.doubleclick.net,www.googletagservices.com,
Spotify,CD08E31494F9531F560D64C695473DA9,tpc.googlesyndication.com,ee972de4e30c4434d661aa36308a0fab.safeframe.googlesyndication.co,
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,i.scdn.co,*.scdn.co
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,i.scdn.co,*.scdn.co
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,i.scdn.co,*.scdn.co
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,t.scdn.co,*.scdn.co
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,dailymix-images.scdn.co,*.scdn.co
Spotify,CD08E31494F9531F560D64C695473DA9,googleads.g.doubleclick.net,adservice.google.cz,
Spotify,CD08E31494F9531F560D64C695473DA9,googleads.g.doubleclick.net,pagead2.googlesyndication.com,
Spotify,CD08E31494F9531F560D64C695473DA9,cm.g.doubleclick.net,adservice.google.com,
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,i.scdn.co,*.scdn.co
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,i.scdn.co,*.scdn.co
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,newjams-images.scdn.co,*.scdn.co
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,i.scdn.co,*.scdn.co
Spotify,,www.spotify.com,,
Spotify,CD08E31494F9531F560D64C695473DA9,www.google.com,www.google.com,
Spotify,,heads-fa.scdn.co,,
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,i.scdn.co,
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,i.scdn.co,
Spotify,,update.googleapis.com,,
Spotify,,googleads.g.doubleclick.net,,
Spotify,,www.spotify.com,,
Spotify,,tpc.googlesyndication.com,,
Spotify,,heads-fa.scdn.co,,
Spotify,,heads-fa.scdn.co,,
Spotify,,heads-fa.scdn.co,,
Spotify,,apresolve.spotify.com,,
Spotify,,heads-fa.scdn.co,,
Spotify,,heads-fa.scdn.co,,
Spotify,,googleads.g.doubleclick.net,,
Spotify,,googleads.g.doubleclick.net,,
Spotify,,www.spotify.com,,
Spotify,,gew4-spclient.spotify.com,,
Spotify,,cm.g.doubleclick.net,,
Spotify,,www.spotify.com,,
Spotify,CD08E31494F9531F560D64C695473DA9,heads-fa.scdn.co,i.scdn.co,
Spotify,,heads-fa.scdn.co,,
Spotify,,dealer.spotify.com,,
Spotify,,heads-fa.scdn.co,,
Spotify,,gew4-dealer.spotify.com,,
Spotify,,heads-fa.scdn.co,,
Spotify,,heads-fa.scdn.co,,
Spotify,,www.spotify.com,,
Spotify,,heads-fa.scdn.co,,
Spotify,,sentry.io,,
Spotify,,cm.g.doubleclick.net,,
Spotify,,www.google.com,,
Spotify,,heads-fa.scdn.co,,
Spotify,,heads-fa.scdn.co,,
Spotify,,heads-fa.scdn.co,,
Spotify,,heads-fa.scdn.co,,
Spotify,,cm.g.doubleclick.net,,
