AppTag,AppName,JA3,Host,Sni,Subject
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,d27xxe7juh1us6.cloudfront.net,d27xxe7juh1us6.cloudfront.net,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,edge.microsoft.com,edge.microsoft.com,edge.microsoft.com
pwsh,pwsh,3B5074B1B5D032E5620F69F9F700FF0E,dc.services.visualstudio.com,dc.services.visualstudio.com,in.applicationinsights.azure.com
chrome,chrome,732EFDC6C8DDA7091320E557F44F8DF6,safebrowsing.googleapis.com,content-autofill.googleapis.com,
Zoom,chrome,06721B9BFCEC0BD2EAD1B153B601B88D,log-gateway.zoom.us,log-gateway.zoom.us,*.zoom.us
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,functional.events.data.microsoft.com,functional.events.data.microsoft.com,*.events.data.microsoft.com
chrome,chrome,06D30AA55EB2BC423ACB23030C82CB81,rollout.ada.support,rollout.ada.support,
chrome,chrome,2EA1E90C11F05ABF54DDCA5AE49400D0,static.ada.support,static.ada.support,
chrome,chrome,2D6FBCE2EADA18054F57830C6BC9D8EE,static.ada.support,static.ada.support,
Zoom,Zoom,366D007990AF3B100F90C88FCFF57A8A,www3.zoom.us,www3.zoom.us,
Zoom,chrome,E48110B7B4EE94398D52D1AB89636EFD,us02web.zoom.us,us02web.zoom.us,
chrome,,72054CAF300E0550ACACEB4BE541744F,us02web.zoom.us,us02web.zoom.us,
Zoom,Zoom,366D007990AF3B100F90C88FCFF57A8A,www3.zoom.us,zoom.us,
chrome,chrome,71F5E86CE066886DC52C7E61E662B95D,geolocation.onetrust.com,geolocation.onetrust.com,
Zoom,,832952DB10F1453442636675BED2702B,zoomff134-224-96-1zc.cloud.zoom.us,zoomff134-224-96-1zc.cloud.zoom.us,*.cloud.zoom.us
Zoom,Zoom,366D007990AF3B100F90C88FCFF57A8A,www3.zoom.us,zoom.us,
,Zoom,7A8CB31783DCD20D51D1DBA4E75167AD,lh5.googleusercontent.com,lh3.googleusercontent.com,
Zoom,,832952DB10F1453442636675BED2702B,zoomff134-224-96-0zc.cloud.zoom.us,zoomff134-224-96-0zc.cloud.zoom.us,*.cloud.zoom.us
chrome,chrome,715D0F0636D0378D6410CAA589BCEB7B,beacons.gvt2.com,beacons3.gvt2.com,
chrome,,769943EB107105249C6292AED4D695A4,google.com,google.com,
Zoom,Zoom,366D007990AF3B100F90C88FCFF57A8A,cdn.zoom.us,cdn.zoom.us,
Zoom,Zoom,832952DB10F1453442636675BED2702B,zoomff134-224-97-137mmr.cloud.zoom.us,zoomff134-224-97-137mmr.cloud.zoom.us,*.cloud.zoom.us
chrome,chrome,5452D5D304DE40755FE97CA1D4B3ABB9,google.com,google.com,
firefox,,FB0AA01ABE9D8E4037EB3473CA6E2DCA,prod.ingestion-edge.prod.dataops.mozgcp.net,incoming.telemetry.mozilla.org,*.telemetry.mozilla.org
firefox,,579CCEF312D18482FC42E2B822CA2430,firefox.settings.services.mozilla.com,firefox.settings.services.mozilla.com,
firefox,,FB0AA01ABE9D8E4037EB3473CA6E2DCA,prod.ingestion-edge.prod.dataops.mozgcp.net,incoming.telemetry.mozilla.org,*.telemetry.mozilla.org
firefox,firefox,579CCEF312D18482FC42E2B822CA2430,contile.services.mozilla.com,contile.services.mozilla.com,
firefox,,579CCEF312D18482FC42E2B822CA2430,firefox.settings.services.mozilla.com,firefox.settings.services.mozilla.com,
firefox,,FB0AA01ABE9D8E4037EB3473CA6E2DCA,prod.ingestion-edge.prod.dataops.mozgcp.net,incoming.telemetry.mozilla.org,*.telemetry.mozilla.org
firefox,,579CCEF312D18482FC42E2B822CA2430,safebrowsing.googleapis.com,safebrowsing.googleapis.com,
firefox,firefox,579CCEF312D18482FC42E2B822CA2430,www.google.com,www.google.com,
firefox,firefox,FB0AA01ABE9D8E4037EB3473CA6E2DCA,prod.balrog.prod.cloudops.mozgcp.net,aus5.mozilla.org,aus5.mozilla.org
firefox,firefox,FB0AA01ABE9D8E4037EB3473CA6E2DCA,content-signature-2.cdn.mozilla.net,content-signature-2.cdn.mozilla.net,content-signature-2.cdn.mozilla.net
firefox,firefox,579CCEF312D18482FC42E2B822CA2430,firefox.settings.services.mozilla.com,firefox.settings.services.mozilla.com,
firefox,firefox,579CCEF312D18482FC42E2B822CA2430,push.services.mozilla.com,push.services.mozilla.com,push.services.mozilla.com
firefox,,FB0AA01ABE9D8E4037EB3473CA6E2DCA,firefox.settings.services.mozilla.com,firefox.settings.services.mozilla.com,main-2-cdn.prod.kinto.prod.cloudops.mozgcp.net
firefox,,579CCEF312D18482FC42E2B822CA2430,shavar.services.mozilla.com,shavar.services.mozilla.com,*.services.mozilla.com
firefox,firefox,579CCEF312D18482FC42E2B822CA2430,i.ytimg.com,i.ytimg.com,
firefox,firefox,579CCEF312D18482FC42E2B822CA2430,prod.ingestion-edge.prod.dataops.mozgcp.net,incoming.telemetry.mozilla.org,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,graph.microsoft.com,graph.microsoft.com,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,config.edge.skype.com,config.edge.skype.com,*.config.skype.com
firefox,,579CCEF312D18482FC42E2B822CA2430,lh5.googleusercontent.com,yt3.ggpht.com,
firefox,,579CCEF312D18482FC42E2B822CA2430,lh5.googleusercontent.com,yt3.ggpht.com,
firefox,firefox,579CCEF312D18482FC42E2B822CA2430,lh5.googleusercontent.com,yt3.ggpht.com,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,play.google.com,play.google.com,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,google.com,aa.google.com,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,google.com,ogs.google.com,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,sb.scorecardresearch.com,sb.scorecardresearch.com,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,a-0003.a-msedge.net,api.msn.com,*.msn.com
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,adservice.google.com,adservice.google.com,
firefox,firefox,579CCEF312D18482FC42E2B822CA2430,jnn-pa.googleapis.com,jnn-pa.googleapis.com,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,c.msn.com,c.msn.com,c.msn.com
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,c.bing.com,c.bing.com,www.bing.com
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,play.google.com,play.google.com,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,ent-api.msn.com,ent-api.msn.com,*.msn.com
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,arc.msn.com,arc.msn.com,arc.msn.com
chrome,chrome,39B4211DB836AF2549DCB88243BEF08F,clients2.google.com,clients2.google.com,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,assets.msn.com,assets.msn.com,
WhatsApp,lsass,28A2C9BD18A11DE089EF85A160DA29E4,,login.microsoftonline.com,stamp2.login.microsoftonline.com
WhatsApp,,28A2C9BD18A11DE089EF85A160DA29E4,,login.microsoftonline.com,stamp2.login.microsoftonline.com
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,webshell.suite.office.com,webshell.suite.office.com,webshell.suite.office.com
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,a-0003.a-msedge.net,ntp.msn.com,*.msn.com
WhatsApp,,28A2C9BD18A11DE089EF85A160DA29E4,graph.microsoft.com,graph.microsoft.com,graph.microsoft.com
msedge,msedge,295B8FA5DB7CFEC6CF325AAE9E1C60B6,ent-api.msn.com,business.bing.com,www.bing.com
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,www.facebook.com,facebook.com,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,bzib.nelreports.net,bzib.nelreports.net,
msedge,,24C42D3E77F06F2A8F47F4EBBBFDFAF4,connect.facebook.net,static.xx.fbcdn.net,
msedge,,24C42D3E77F06F2A8F47F4EBBBFDFAF4,connect.facebook.net,static.xx.fbcdn.net,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,www.bing.com,www.bing.com,www.bing.com
msedge,,24C42D3E77F06F2A8F47F4EBBBFDFAF4,connect.facebook.net,static.xx.fbcdn.net,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,connect.facebook.net,static.xx.fbcdn.net,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,www.facebook.com,fbcdn.net,
msedge,,24C42D3E77F06F2A8F47F4EBBBFDFAF4,connect.facebook.net,static.xx.fbcdn.net,
msedge,msedge,295B8FA5DB7CFEC6CF325AAE9E1C60B6,edge.microsoft.com,edge.microsoft.com,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,www.google.com,www.google.com,
msedge,,24C42D3E77F06F2A8F47F4EBBBFDFAF4,connect.facebook.net,static.xx.fbcdn.net,
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,lf16-tiktok-web.ttwstatic.com,img-s-msn-com.akamaized.net,a248.e.akamai.net
msedge,msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,assets.msn.com,assets.msn.com,
chrome,,D4C38321CFA982D5871F084855AE1441,lf16-tiktok-web.ttwstatic.com,www.similarweb.com,
chrome,chrome,5F6FFCC92B8F5BDAB3EFEF2CA16C3B95,c.go-mpulse.net,s.go-mpulse.net,akstat.io
chrome,chrome,090192A9377991A26A0834A70840D14F,c.go-mpulse.net,c.go-mpulse.net,akstat.io
chrome,chrome,147BE4A9F61C3997CB8955C538495119,c.go-mpulse.net,c.go-mpulse.net,akstat.io
