App,Jas3,Host,Sni,Subject
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,config.edge.skype.com,config.edge.skype.com,*.config.skype.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,www.gstatic.com,www.gstatic.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,aa.google.com,ogs.google.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,contacts.google.com,play.google.com,
,,adservice.google.com,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,c.bing.com,www.bing.com,www.bing.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,adservice.google.com,adservice.google.com,
,,aa.google.com,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,mail.google.com,mail.google.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,accounts.google.com,accounts.google.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,api.msn.com,api.msn.com,*.msn.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,lh3.googleusercontent.com,lh3.googleusercontent.com,
,,lh3.googleusercontent.com,,
,,th.bing.com,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,ent-api.msn.com,ent-api.msn.com,*.msn.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,aa.google.com,chat.google.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,sb.scorecardresearch.com,sb.scorecardresearch.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,aa.google.com,chat.google.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,c.bing.com,c.bing.com,www.bing.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,android.clients.google.com,clients2.google.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,api.msn.com,ntp.msn.com,*.msn.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,img-prod-cms-rt-microsoft-com.akamaized.net,img-prod-cms-rt-microsoft-com.akamaized.net,a248.e.akamai.net
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,arc.msn.com,arc.msn.com,arc.msn.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,webshell.suite.office.com,webshell.suite.office.com,webshell.suite.office.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,www.google.com,www.google.com,
,,accounts.google.cz,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,accounts.google.cz,fonts.gstatic.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,signaler-pa.clients6.google.com,signaler-pa.clients6.google.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,signaler-pa.clients6.google.com,signaler-pa.clients6.google.com,
,,contacts.google.com,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,mail-ads.google.com,mail-ads.google.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,mail-ads.google.com,mail-ads.google.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,peoplestackwebexperiments-pa.clients6.google.com,peoplestackwebexperiments-pa.clients6.google.com,
,,peoplestackwebexperiments-pa.clients6.google.com,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,peoplestackwebexperiments-pa.clients6.google.com,people-pa.clients6.google.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,peoplestackwebexperiments-pa.clients6.google.com,people-pa.clients6.google.com,
,,peoplestackwebexperiments-pa.clients6.google.com,,
,,peoplestackwebexperiments-pa.clients6.google.com,,
,,accounts.google.com,,
,,addons-pa.clients6.google.com,,
,,signaler-pa.clients6.google.com,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,addons-pa.clients6.google.com,peoplestack-pa.clients6.google.com,
,,android.clients.google.com,,
,,signaler-pa.clients6.google.com,,
,,r.bing.com,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,r.msftstatic.com,r.msftstatic.com,r.msftstatic.com
,,www.gstatic.com,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,r.msftstatic.com,r.msftstatic.com,r.msftstatic.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,browser.events.data.msn.com,browser.events.data.msn.com,*.events.data.microsoft.com
,,c.bing.com,,
,,android.clients.google.com,,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,assets.msn.com,assets.msn.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,android.clients.google.com,clients6.google.com,
,,accounts.google.cz,,
,,addons-pa.clients6.google.com,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,c.msn.com,c.msn.com,c.msn.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,assets.msn.com,assets.msn.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,browser.events.data.msn.com,browser.events.data.msn.com,*.events.data.microsoft.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,browser.events.data.msn.com,browser.events.data.msn.com,*.events.data.microsoft.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,browser.events.data.msn.com,browser.events.data.msn.com,*.events.data.microsoft.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,img-s-msn-com.akamaized.net,img-s-msn-com.akamaized.net,a248.e.akamai.net
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,nav-edge.smartscreen.microsoft.com,nav-edge.smartscreen.microsoft.com,smartscreen.microsoft.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,nav-edge.smartscreen.microsoft.com,nav-edge.smartscreen.microsoft.com,smartscreen.microsoft.com
,,www.google.com,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,nav-edge.smartscreen.microsoft.com,nav-edge.smartscreen.microsoft.com,smartscreen.microsoft.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,vutbr-my.sharepoint.com,vutbr-my.sharepoint.com,*.sharepoint.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,browser.events.data.msn.com,browser.events.data.msn.com,*.events.data.microsoft.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,res-1.cdn.office.net,res-1.cdn.office.net,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,res-1.cdn.office.net,res-1.cdn.office.net,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,res-1.cdn.office.net,res-1.cdn.office.net,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,res-1.cdn.office.net,res-1.cdn.office.net,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,nav-edge.smartscreen.microsoft.com,nav-edge.smartscreen.microsoft.com,smartscreen.microsoft.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,res-1.cdn.office.net,res-1.cdn.office.net,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,capi.grammarly.com,capi.grammarly.com,capi.grammarly.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,amcdn.msftauth.net,amcdn.msftauth.net,identitycdn.msauth.net
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,substrate.office.com,substrate.office.com,
,,substrate.office.com,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,nav-edge.smartscreen.microsoft.com,nav-edge.smartscreen.microsoft.com,smartscreen.microsoft.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,nav-edge.smartscreen.microsoft.com,nav-edge.smartscreen.microsoft.com,smartscreen.microsoft.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,nav-edge.smartscreen.microsoft.com,nav-edge.smartscreen.microsoft.com,smartscreen.microsoft.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,res.cdn.office.net,res.cdn.office.net,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,content.powerapps.com,js.monitor.azure.com,js.monitor.azure.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,login.microsoftonline.com,login.microsoftonline.com,stamp2.login.microsoftonline.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,nav-edge.smartscreen.microsoft.com,nav-edge.smartscreen.microsoft.com,smartscreen.microsoft.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,shell.cdn.office.net,shell.cdn.office.net,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,mail.google.com,mail.google.com,
,,contacts.google.com,,
,,accounts.google.cz,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,vutbr-my.sharepoint.com,vutbr-my.sharepoint.com,*.sharepoint.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,upload.fp.measure.office.com,config.fp.measure.office.com,*.msedge.net
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,res-1.cdn.office.net,res-1.cdn.office.net,
,,aa.google.com,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,northeurope1-0.pushnp.svc.ms,northeurope1-0.pushnp.svc.ms,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,login.microsoftonline.com,login.microsoftonline.com,stamp2.login.microsoftonline.com
,DE9206F8518A43E2725BEFA7F447986A,contacts.google.com,apis.google.com,
,3E01D8B89BEDACA98FEBAFA7883ECE0A,www.gstatic.com,www.gstatic.com,
,,signaler-pa.clients6.google.com,,
chrome,C6396414C59963B7FE0114B2745E6F65,clientservices.googleapis.com,clientservices.googleapis.com,
,3A5D7D738BA2014D6889159061048D0A,android.clients.google.com,clients2.google.com,
,9A5117C57192284900B85B5D94CD7E92,www.gstatic.com,www.gstatic.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,webshell.suite.office.com,webshell.suite.office.com,webshell.suite.office.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,ecs.office.com,ecs.office.com,ecs.office.com
chrome,B75E47982AC3F4605998D84F66860B50,www.google.com,www.google.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,browser.events.data.microsoft.com,browser.events.data.microsoft.com,*.events.data.microsoft.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,graph.microsoft.com,graph.microsoft.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,eu-office.events.data.microsoft.com,eu-office.events.data.microsoft.com,*.events.data.microsoft.com
chrome,10F4D381937AEA5B0BBE7ABCC4E28B72,accounts.google.com,accounts.google.com,
,C5E423F04D4AF164526FBFF8E43FF44F,www.gstatic.com,www.gstatic.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,eu-office.events.data.microsoft.com,eu-office.events.data.microsoft.com,*.events.data.microsoft.com
,,,,
,EE8266A21E46B11F0D8F64C4C04E72D6,accounts.google.cz,fonts.gstatic.com,
,1FD5BB61FE485217B4E7FB63194D8AE3,contacts.google.com,play.google.com,
chrome,BD298BD27E0BD8C9E5366CA8FE5F8BC4,aa.google.com,accounts.youtube.com,
,B7B7B1A9ED8894C54D5986196A38D943,accounts.google.cz,fonts.gstatic.com,
,7B2818836E006F927DD4765CF51A2634,accounts.google.cz,fonts.gstatic.com,
,,www.google.com,,
,5B924D502024B90223C973FD247F5053,accounts.google.cz,fonts.gstatic.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,res-1.cdn.office.net,res-1.cdn.office.net,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,apps.powerapps.com,apps.powerapps.com,apps.powerapps.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,content.powerapps.com,content.powerapps.com,content.powerapps.com
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,content.powerapps.com,content.powerapps.com,content.powerapps.com
,,res-1.cdn.office.net,,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,a1275bba52cea678f10851ceab0dbc16.fp.measure.office.com,a1275bba52cea678f10851ceab0dbc16.fp.measure.office.com,
,,accounts.google.cz,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,atm-fp-direct.office.com,atm-fp-direct.office.com,outlook.com
msedge,,upload.fp.measure.office.com,,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,atm-fp-direct.office.com,atm-fp-direct.office.com,outlook.com
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,browser.events.data.msn.com,functional.events.data.microsoft.com,*.events.data.microsoft.com
,,accounts.google.cz,,
,,www.gstatic.com,,
,,aa.google.com,,
,,peoplestackwebexperiments-pa.clients6.google.com,,
,,aa.google.com,,
,3DEFE99DF47D0F3497FEFD077182591A,mail.google.com,mail.google.com,
,,accounts.google.cz,,
,,accounts.google.cz,,
chrome,,aa.google.com,,
,95F182F25C00A5A47CB4F0658CA70983,signaler-pa.clients6.google.com,content-autofill.googleapis.com,
,EF36705E9D652FEB511680628FC11212,accounts.google.cz,ssl.gstatic.com,
,,signaler-pa.clients6.google.com,,
,,ent-api.msn.com,,
,,th.bing.com,,
msedge,,browser.events.data.msn.com,,
,,assets.msn.com,,
,,api.msn.com,,
,,img-prod-cms-rt-microsoft-com.akamaized.net,,
msedge,,arc.msn.com,,
msedge,,webshell.suite.office.com,,
msedge,,assets.msn.com,,
,,contacts.google.com,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,vutbr-my.sharepoint.com,vutbr-my.sharepoint.com,*.sharepoint.com
,,aa.google.com,,
,,www.gstatic.com,,
pwsh,3B5074B1B5D032E5620F69F9F700FF0E,dc.services.visualstudio.com,dc.services.visualstudio.com,in.applicationinsights.azure.com
,,aa.google.com,,
,,contacts.google.com,,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,eu-mobile.events.data.microsoft.com,eu-mobile.events.data.microsoft.com,*.events.data.microsoft.com
