App,Jas3,Host,Sni,Subject
firefox,579CCEF312D18482FC42E2B822CA2430,contile.services.mozilla.com,contile.services.mozilla.com,
firefox,579CCEF312D18482FC42E2B822CA2430,www.google.com,www.google.com,
firefox,FB0AA01ABE9D8E4037EB3473CA6E2DCA,prod.balrog.prod.cloudops.mozgcp.net,aus5.mozilla.org,aus5.mozilla.org
firefox,FB0AA01ABE9D8E4037EB3473CA6E2DCA,content-signature-2.cdn.mozilla.net,content-signature-2.cdn.mozilla.net,content-signature-2.cdn.mozilla.net
firefox,579CCEF312D18482FC42E2B822CA2430,firefox.settings.services.mozilla.com,firefox.settings.services.mozilla.com,
firefox,579CCEF312D18482FC42E2B822CA2430,push.services.mozilla.com,push.services.mozilla.com,push.services.mozilla.com
firefox,579CCEF312D18482FC42E2B822CA2430,i.ytimg.com,i.ytimg.com,
firefox,579CCEF312D18482FC42E2B822CA2430,prod.ingestion-edge.prod.dataops.mozgcp.net,incoming.telemetry.mozilla.org,
firefox,579CCEF312D18482FC42E2B822CA2430,lh5.googleusercontent.com,yt3.ggpht.com,
firefox,579CCEF312D18482FC42E2B822CA2430,jnn-pa.googleapis.com,jnn-pa.googleapis.com,
firefox,,prod.ingestion-edge.prod.dataops.mozgcp.net,,
firefox,,contile.services.mozilla.com,,
firefox,,www.google.com,,
firefox,,prod.balrog.prod.cloudops.mozgcp.net,,
firefox,,content-signature-2.cdn.mozilla.net,,
firefox,,firefox.settings.services.mozilla.com,,
firefox,,i.ytimg.com,,
firefox,,lh5.googleusercontent.com,,
firefox,,jnn-pa.googleapis.com,,
firefox,,prod.ingestion-edge.prod.dataops.mozgcp.net,,
firefox,579CCEF312D18482FC42E2B822CA2430,s3.dzeninfra.ru,s3.dzeninfra.ru,*.dzeninfra.ru
firefox,579CCEF312D18482FC42E2B822CA2430,static.dzeninfra.ru,static.dzeninfra.ru,*.dzeninfra.ru
firefox,579CCEF312D18482FC42E2B822CA2430,static.dzeninfra.ru,static.dzeninfra.ru,*.dzeninfra.ru
firefox,579CCEF312D18482FC42E2B822CA2430,top-fwz1.mail.ru,top-fwz1.mail.ru,*.mail.ru
firefox,579CCEF312D18482FC42E2B822CA2430,an.yandex.ru,an.yandex.ru,
firefox,579CCEF312D18482FC42E2B822CA2430,yastatic.net,yastatic.net,
firefox,579CCEF312D18482FC42E2B822CA2430,mc.yandex.ru,mc.yandex.ru,
firefox,579CCEF312D18482FC42E2B822CA2430,an.yandex.ru,an.yandex.ru,
firefox,579CCEF312D18482FC42E2B822CA2430,avatars.mds.yandex.net,avatars.mds.yandex.net,
firefox,579CCEF312D18482FC42E2B822CA2430,yastatic.net,yastatic.net,
firefox,579CCEF312D18482FC42E2B822CA2430,s3.dzeninfra.ru,s3.dzeninfra.ru,*.dzeninfra.ru
firefox,579CCEF312D18482FC42E2B822CA2430,yandex.ru,yandex.ru,
firefox,,mc.yandex.ru,,
firefox,,yandex.ru,,
firefox,579CCEF312D18482FC42E2B822CA2430,az725175.vo.msecnd.net,az725175.vo.msecnd.net,
firefox,579CCEF312D18482FC42E2B822CA2430,www.clarity.ms,www.clarity.ms,www.clarity.ms
firefox,579CCEF312D18482FC42E2B822CA2430,outlook.live.com,outlook.live.com,outlook.com
firefox,,prod.ingestion-edge.prod.dataops.mozgcp.net,,
firefox,579CCEF312D18482FC42E2B822CA2430,r4.res.office365.com,ow2.res.office365.com,
firefox,579CCEF312D18482FC42E2B822CA2430,vmss-clarity-ingest-eus2-d.eastus2.cloudapp.azure.com,j.clarity.ms,a.clarity.ms
firefox,579CCEF312D18482FC42E2B822CA2430,suggest.dzen.ru,suggest.dzen.ru,suggest.dzen.ru
firefox,579CCEF312D18482FC42E2B822CA2430,dzen.ru,dzen.ru,*.dzen.ru
firefox,579CCEF312D18482FC42E2B822CA2430,static-mon.yandex.net,static-mon.yandex.net,*.naydex.net
firefox,579CCEF312D18482FC42E2B822CA2430,clck.dzen.ru,clck.dzen.ru,*.dzen.ru
firefox,,contile.services.mozilla.com,,
firefox,579CCEF312D18482FC42E2B822CA2430,clck.dzen.ru,clck.dzen.ru,*.dzen.ru
firefox,,www.google.com,,
firefox,,prod.balrog.prod.cloudops.mozgcp.net,,
firefox,,content-signature-2.cdn.mozilla.net,,
firefox,,firefox.settings.services.mozilla.com,,
firefox,E669667EFB41C36F714C309243F41CA7,dzen.ru,dzen.ru,
firefox,,static.dzeninfra.ru,,
firefox,,an.yandex.ru,,
firefox,,i.ytimg.com,,
firefox,,lh5.googleusercontent.com,,
firefox,579CCEF312D18482FC42E2B822CA2430,static-mon.yandex.net,static-mon.yandex.net,*.naydex.net
firefox,,jnn-pa.googleapis.com,,
firefox,579CCEF312D18482FC42E2B822CA2430,,web.vortex-extended.data.microsoft.com,*.vortex.data.microsoft.com
firefox,,prod.ingestion-edge.prod.dataops.mozgcp.net,,
firefox,,,,
firefox,,,,
firefox,579CCEF312D18482FC42E2B822CA2430,dzen.ru,dzen.ru,*.dzen.ru
firefox,,prod.ingestion-edge.prod.dataops.mozgcp.net,,
firefox,E669667EFB41C36F714C309243F41CA7,j.clarity.ms,j.clarity.ms,a.clarity.ms
firefox,579CCEF312D18482FC42E2B822CA2430,,suggest.dzen.ru,suggest.dzen.ru
firefox,,,,
firefox,579CCEF312D18482FC42E2B822CA2430,,clck.dzen.ru,*.dzen.ru
firefox,579CCEF312D18482FC42E2B822CA2430,,clck.dzen.ru,*.dzen.ru
firefox,,,,
firefox,,,,
firefox,,,,
firefox,,,,
firefox,,,,
firefox,E669667EFB41C36F714C309243F41CA7,top-fwz1.mail.ru,top-fwz1.mail.ru,
firefox,579CCEF312D18482FC42E2B822CA2430,dzen.ru,dzen.ru,*.dzen.ru
firefox,579CCEF312D18482FC42E2B822CA2430,irc-ws.chat.twitch.tv,irc-ws.chat.twitch.tv,*.chat.twitch.tv
firefox,E669667EFB41C36F714C309243F41CA7,dzen.ru,dzen.ru,
firefox,579CCEF312D18482FC42E2B822CA2430,d186rixkn5ruba.cloudfront.net,static-cdn.jtvnw.net,
firefox,579CCEF312D18482FC42E2B822CA2430,d2v02itv0y9u9t.cloudfront.net,d2v02itv0y9u9t.cloudfront.net,
firefox,579CCEF312D18482FC42E2B822CA2430,sb.scorecardresearch.com,usher.ttvnw.net,
firefox,579CCEF312D18482FC42E2B822CA2430,,clck.dzen.ru,*.dzen.ru
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,,,,
firefox,579CCEF312D18482FC42E2B822CA2430,pubsub-edge.twitch.tv,pubsub-edge.twitch.tv,pubsub-edge.twitch.tv
