App,JA3,Ciphers,Curves,Host,Sni,Subject
,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,z-p42-instagram.c10r.instagram.com,instagram.com,
chrome,BD7B6AD1568F03D62411D4DA4432EE1E,EAEA0113021303132BC02FC02CC030C0,DADA1D0017001800,firebaseinstallations.googleapis.com,firebaseinstallations.googleapis.com,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,instagram.com,www.instagram.com,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,instagram.com,instagram.com,
,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,instagram.com,www.instagram.com,
firefox,579CCEF312D18482FC42E2B822CA2430,0113031302132BC02FC0A9CCA8CC2CC0,1D0017001800190000010101,instagram.com,www.instagram.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,4A4A01130213021303132BC02FC02CC0,BABA1D0017001800,static.cdninstagram.com,static.cdninstagram.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,AAAA01130213021303132BC02FC02CC0,CACA1D0017001800,static.cdninstagram.com,static.cdninstagram.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,6A6A01130213021303132BC02FC02CC0,7A7A1D0017001800,static.cdninstagram.com,static.cdninstagram.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,EAEA01130213021303132BC02FC02CC0,9A9A1D0017001800,instagram.com,instagram.com,
msedge,24C42D3E77F06F2A8F47F4EBBBFDFAF4,EAEA01130213021303132BC02FC02CC0,7A7A1D0017001800,instagram.com,instagram.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,1A1A01130213021303132BC02FC02CC0,BABA1D0017001800,static.cdninstagram.com,static.cdninstagram.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,EAEA01130213021303132BC02FC02CC0,4A4A1D0017001800,static.cdninstagram.com,static.cdninstagram.com,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,EAEA01130213021303132BC02FC02CC0,9A9A1D0017001800,static.cdninstagram.com,static.cdninstagram.com,
