App,Jas3,Host,Sni,Subject
,579CCEF312D18482FC42E2B822CA2430,lf16-tiktok-web.ttwstatic.com,lf16-tiktok-web.ttwstatic.com,
,579CCEF312D18482FC42E2B822CA2430,www.tiktok.com,www.tiktok.com,
,579CCEF312D18482FC42E2B822CA2430,a1607.b.akamai.net,lf16-tiktok-common.ttwstatic.com,
,579CCEF312D18482FC42E2B822CA2430,a1607.b.akamai.net,lf16-tiktok-common.ttwstatic.com,
,579CCEF312D18482FC42E2B822CA2430,a1607.b.akamai.net,lf16-tiktok-common.ttwstatic.com,
,579CCEF312D18482FC42E2B822CA2430,lf16-tiktok-common.ibytedtos.com,lf16-tiktok-web.ttwstatic.com,
,579CCEF312D18482FC42E2B822CA2430,p16-sign-sg.tiktokcdn.com,p16-sign-sg.tiktokcdn.com,
firefox,579CCEF312D18482FC42E2B822CA2430,p77-sign-va.tiktokcdn.com,p77-sign-va.tiktokcdn.com,
firefox,579CCEF312D18482FC42E2B822CA2430,mcs-va.tiktok.com,mcs-va.tiktok.com,
,579CCEF312D18482FC42E2B822CA2430,p77-sign-va.tiktokcdn.com,p77-sign-va.tiktokcdn.com,
firefox,579CCEF312D18482FC42E2B822CA2430,mcs-va.tiktokv.com,mcs-va.tiktokv.com,
,579CCEF312D18482FC42E2B822CA2430,p16-sign-va.tiktokcdn.com,p16-sign-va.tiktokcdn.com,
firefox,579CCEF312D18482FC42E2B822CA2430,bytedance.map.fastly.net,p19-sign.tiktokcdn-us.com,
,579CCEF312D18482FC42E2B822CA2430,v16-webapp-prime.tiktok.com,s20.tiktokcdn.com,
firefox,579CCEF312D18482FC42E2B822CA2430,lf16-tiktok-common.ibytedtos.com,lf16-tiktok-web.ttwstatic.com,
,C279B0189EDB9269DA7BC43DEA5E0C36,mcs-va.tiktok.com,mcs-va.tiktok.com,
,579CCEF312D18482FC42E2B822CA2430,v16-webapp-prime.tiktok.com,v16-webapp-prime.tiktok.com,
,579CCEF312D18482FC42E2B822CA2430,lf16-tiktok-common.ibytedtos.com,lf16-tiktok-common.ibytedtos.com,
,579CCEF312D18482FC42E2B822CA2430,v16-webapp-prime.tiktok.com,s20.tiktokcdn.com,
firefox,579CCEF312D18482FC42E2B822CA2430,mssdk-va.tiktok.com,mssdk-va.tiktok.com,
firefox,579CCEF312D18482FC42E2B822CA2430,p16-sign.tiktokcdn-us.com,p16-sign.tiktokcdn-us.com,
firefox,579CCEF312D18482FC42E2B822CA2430,p16-sign-va.tiktokcdn.com,p16-sign-va.tiktokcdn.com,
,579CCEF312D18482FC42E2B822CA2430,mcs-va.tiktok.com,mcs-va.tiktok.com,
firefox,579CCEF312D18482FC42E2B822CA2430,p77-sign-sg.tiktokcdn.com,p77-sign-sg.tiktokcdn.com,
,579CCEF312D18482FC42E2B822CA2430,mcs-va.tiktok.com,mcs-va.tiktok.com,
,579CCEF312D18482FC42E2B822CA2430,lf16-tiktok-common.ibytedtos.com,lf16-tiktok-common.ibytedtos.com,
,579CCEF312D18482FC42E2B822CA2430,lf16-tiktok-common.ibytedtos.com,lf16-tiktok-common.ibytedtos.com,
,579CCEF312D18482FC42E2B822CA2430,lf16-tiktok-common.ibytedtos.com,lf16-tiktok-common.ibytedtos.com,
,579CCEF312D18482FC42E2B822CA2430,p77-sign-va.tiktokcdn.com,p77-sign-va.tiktokcdn.com,
firefox,C279B0189EDB9269DA7BC43DEA5E0C36,a1124.b.akamai.net,www.tiktok.com,
,C279B0189EDB9269DA7BC43DEA5E0C36,mcs-va.tiktok.com,mcs-va.tiktok.com,
,C279B0189EDB9269DA7BC43DEA5E0C36,mcs-va.tiktokv.com,mcs-va.tiktokv.com,
,579CCEF312D18482FC42E2B822CA2430,mcs-va.tiktok.com,mcs-va.tiktok.com,
,579CCEF312D18482FC42E2B822CA2430,a1124.b.akamai.net,www.tiktok.com,
,579CCEF312D18482FC42E2B822CA2430,lf16-tiktok-common.ibytedtos.com,lf16-tiktok-common.ibytedtos.com,
,579CCEF312D18482FC42E2B822CA2430,lf16-tiktok-common.ibytedtos.com,lf16-tiktok-common.ibytedtos.com,
firefox,C279B0189EDB9269DA7BC43DEA5E0C36,mcs-va.tiktokv.com,mcs-va.tiktokv.com,
