Flow id,Src IP,Dst IP,Dst port,Protocol,Application protocol,Duration,Received bytes,Received packets,Transmitted bytes,Transmitted packets,Total bytes,Total packets,label,family
101839207200919836,10.0.2.15,45.57.91.1,443,tcp,-,63099,467165,356,19332,270,486497,626,normal,-
-39236173195564561,10.0.2.15,142.251.37.110,443,tcp,tls,1873298,1084184,1429,132509,1180,1216693,2609,normal,-
8241443478711596101,10.0.2.15,185.199.109.154,443,tcp,-,192005,451943,412,23276,294,475219,706,normal,-
-5046472066674943199,10.0.2.15,142.251.36.106,443,tcp,tls,377244,264248,822,117934,774,382182,1596,normal,-
5347319502865209866,10.0.2.15,146.75.120.193,443,tcp,tls,175272,561462,461,20010,261,581472,722,normal,-
-3656488926098362647,10.0.2.15,151.101.193.69,443,tcp,tls,230019,617106,541,32210,404,649316,945,normal,-
-2095579213857418410,10.0.2.15,142.251.37.104,443,tcp,tls,226627,395910,348,16319,178,412229,526,normal,-
-8441567842405116804,10.0.2.15,140.82.112.25,443,tcp,tls,8366,9048,32,5974,30,15022,62,normal,-
-8215221357526815521,10.0.2.15,192.0.73.2,443,tcp,tls,63965,89673,143,14999,120,104672,263,normal,-
4046711451672289662,10.0.2.15,104.17.32.82,443,tcp,-,163,180,3,384,6,564,9,normal,-
-7249589588360022667,10.0.2.15,142.251.36.98,443,tcp,tls,1851310,605737,925,92163,763,697900,1688,normal,-
-1420045016947431704,10.0.2.15,147.229.9.26,443,tcp,tls,216861,620923,528,33186,317,654109,845,normal,-
-6506847499386655766,10.0.2.15,67.27.213.122,443,tcp,-,745,960,16,2048,32,3008,48,normal,-
-8955940420221196972,10.0.2.15,151.101.194.206,443,tcp,-,173688,689616,519,27699,451,717315,970,normal,-
-6550140355802229482,10.0.2.15,147.229.9.226,443,tcp,-,207738,330780,576,86949,540,417729,1116,normal,-
-4897978596436559358,10.0.2.15,192.229.221.95,80,tcp,-,5926393,194128,1008,134008,1046,328136,2054,normal,-
5082298001779832860,10.0.2.15,13.32.110.82,443,tcp,-,106526,680,10,786,10,1466,20,normal,-
-133440136347563932,10.0.2.15,209.140.136.194,443,tcp,tls,129935,24084,54,9606,55,33690,109,normal,-
8778341475023808891,10.0.2.15,142.251.36.65,443,tcp,tls,357365,810865,802,54738,570,865603,1372,normal,-
5246432985792630942,10.0.2.15,151.101.129.69,443,tcp,tls,584,13340,30,3114,26,16454,56,normal,-
6241443927401530724,10.0.2.15,151.101.193.69,80,tcp,-,67442,720,12,648,12,1368,24,normal,-
9167017816801255710,10.0.2.15,157.240.30.174,443,tcp,tls,1284,156348,130,5884,64,162232,194,normal,-
-644741052351960842,10.0.2.15,142.251.37.97,443,tcp,tls,179683,711475,696,47021,491,758496,1187,normal,-
6501705892624929267,10.0.2.15,216.239.34.36,443,tcp,tls,568581,111255,299,36996,286,148251,585,normal,-
277061941061847704,10.0.2.15,34.117.237.239,443,tcp,-,1400790,43833,170,16908,165,60741,335,normal,-
111159312016706072,10.0.2.15,95.100.146.41,80,tcp,-,2159345,71428,352,44397,369,115825,721,normal,-
7168746081179387887,fe80:0000:0000:0000:8fc8:b416:45a8:93c4,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,udp,-,79373,0,0,6920,49,6920,49,normal,-
7156139017526962566,10.0.2.15,224.0.0.251,5353,udp,-,77181,0,0,4095,41,4095,41,normal,-
-3868496579351225335,10.0.2.15,104.18.6.29,443,tcp,tls,446,12198,24,2920,24,15118,48,normal,-
-4450004502894781830,10.0.2.15,142.251.36.132,443,tcp,tls,2735843,950187,1337,123628,1013,1073815,2350,normal,-
4584758697424882077,10.0.2.15,104.244.42.2,443,tcp,-,348086,54461,130,56505,121,110966,251,normal,-
5674076555105974085,10.0.2.15,146.75.116.159,443,tcp,tls,176051,255110,269,17622,173,272732,442,normal,-
-7515630690946124152,10.0.2.15,34.107.221.82,80,tcp,-,2086361,19594,268,19070,273,38664,541,normal,-
2792490901068046551,10.0.2.15,142.251.36.110,443,tcp,tls,1115122,146033,318,37881,314,183914,632,normal,-
398335552255754485,10.0.2.15,151.101.193.140,443,tcp,tls,2404073,9208100,7020,320421,3490,9528521,10510,normal,-
8605097794893808263,10.0.2.15,35.244.174.68,443,tcp,tls,2332,33080,78,9710,76,42790,154,normal,-
-7198978090318656091,10.0.2.15,142.251.36.67,443,tcp,tls,1307214,983933,1143,90037,855,1073970,1998,normal,-
-3897493395602619949,10.0.2.15,142.251.36.129,443,tcp,tls,14553,321837,482,48555,423,370392,905,normal,-
-7059663803976873444,10.0.2.15,185.199.111.133,443,tcp,tls,187092,142851,240,24435,232,167286,472,normal,-
-5230576495706771882,10.0.2.15,152.199.21.141,443,tcp,-,204994,4623246,3743,133794,1319,4757040,5062,normal,-
9130813297027771567,10.0.2.15,104.19.188.97,443,tcp,tls,1733865,1515910,1308,75571,970,1591481,2278,normal,-
1077570314360189165,10.0.2.15,172.67.71.230,443,tcp,tls,322,12814,24,2920,24,15734,48,normal,-
6369495502481478227,10.0.2.15,142.251.37.99,80,tcp,-,962410,27029,160,19722,165,46751,325,normal,-
-6325797372210314142,10.0.2.15,157.240.30.27,443,tcp,tls,521656,1231462,1177,69361,785,1300823,1962,normal,-
-8818860313818083153,10.0.2.15,142.251.36.138,443,tcp,-,805443,1366304,1424,107679,943,1473983,2367,normal,-
-4157417754129473824,10.0.2.15,142.251.36.78,443,tcp,tls,23688,1223433,1070,58069,656,1281502,1726,normal,-
4917640744839152322,10.0.2.15,142.251.36.99,443,tcp,tls,1392670,1892194,1768,109140,1174,2001334,2942,normal,-
7898957554304280946,10.0.2.15,31.30.189.206,443,tcp,tls,231148,14114,46,4704,48,18818,94,normal,-
-1884143775377259848,10.0.2.15,104.18.7.29,443,tcp,tls,172229,478636,398,19743,237,498379,635,normal,-
4684745851057711076,10.0.2.15,91.189.91.49,80,tcp,http,2986,882,10,754,10,1636,20,normal,-
-4347074525453619545,10.0.2.15,142.251.36.67,80,tcp,-,1301450,27412,189,20623,196,48035,385,normal,-
4673750635884781660,10.0.2.15,142.251.36.142,443,tcp,tls,1776421,818917,1008,89984,808,908901,1816,normal,-
-7926794734002783272,10.0.2.15,142.251.37.99,443,tcp,tls,911946,91329,180,18563,165,109892,345,normal,-
7461065320117331418,10.0.2.15,8.8.8.8,53,udp,dns,14479694,1076301,6387,585062,6404,1661363,12791,normal,-
-4699328576966186604,10.0.2.15,172.64.155.188,80,tcp,http,1681644,48297,260,29569,275,77866,535,normal,-
1621100242814921079,10.0.2.15,142.251.37.110,443,udp,-,439497,6414934,6139,955115,3138,7370049,9277,normal,-
-7178471050195100847,10.0.2.15,142.251.36.130,443,tcp,tls,2948863,495767,1012,112352,949,608119,1961,normal,-
-7021734148527112348,10.0.2.15,146.75.122.167,443,tcp,tls,1025517,390167,551,128839,436,519006,987,normal,-
5546437883735843597,10.0.2.15,31.30.189.77,443,tcp,tls,347018,290920,257,14771,158,305691,415,normal,-
1623241788894168592,10.0.2.15,157.240.30.63,443,tcp,tls,176541,1337098,1013,30581,391,1367679,1404,normal,-
-785856817720453198,10.0.2.15,13.32.110.8,443,tcp,tls,530908,182496,203,15195,142,197691,345,normal,-
5391284539523287831,10.0.2.15,52.223.202.71,443,tcp,tls,6220,4063898,2963,124852,1804,4188750,4767,normal,-
-6266458317992297632,10.0.2.15,142.251.37.99,443,udp,-,78989,1002374,884,105152,427,1107526,1311,normal,-
-6502477056673014330,10.0.2.15,18.192.246.211,443,tcp,tls,192992,32916,109,31968,119,64884,228,normal,-
4712013047323652461,10.0.2.15,52.28.203.152,443,tcp,tls,304373,81306,238,51003,228,132309,466,normal,-
1082555921555438021,10.0.2.15,50.17.196.195,443,tcp,tls,174603,21461,52,6457,51,27918,103,normal,-
702939889214431033,10.0.2.15,142.251.37.98,443,tcp,tls,1825846,482335,691,65479,587,547814,1278,normal,-
