type,key,value,reliability,validity,details
activity_flows,192.168.111.19,5,1,"[""2023-03-10 18:25:22"",""2023-03-10 18:25:22""]","{""src"": ""ip_activity""}"
activity_bytes,192.168.111.19,21600,1,"[""2023-03-10 18:25:22"",""2023-03-10 18:25:22""]","{""src"": ""ip_activity""}"
activity_flows,204.2.134.163,1,1,"[""2023-03-10 18:20:17"",""2023-03-10 18:20:17""]","{""src"": ""ip_activity""}"
activity_bytes,204.2.134.163,76,1,"[""2023-03-10 18:20:17"",""2023-03-10 18:20:17""]","{""src"": ""ip_activity""}"
activity_flows,5.1.56.123,32,1,"[""2023-03-10 18:23:19"",""2023-03-10 18:23:19""]","{""src"": ""ip_activity""}"
activity_bytes,5.1.56.123,9272,1,"[""2023-03-10 18:23:19"",""2023-03-10 18:23:19""]","{""src"": ""ip_activity""}"
activity_flows,10.100.56.157,38,1,"[""2023-03-10 18:25:59"",""2023-03-10 18:25:59""]","{""src"": ""ip_activity""}"
activity_bytes,10.100.56.157,6770,1,"[""2023-03-10 18:25:59"",""2023-03-10 18:25:59""]","{""src"": ""ip_activity""}"
activity_flows,10.100.51.20,51,1,"[""2023-03-10 18:26:01"",""2023-03-10 18:26:01""]","{""src"": ""ip_activity""}"
activity_bytes,10.100.51.20,17066,1,"[""2023-03-10 18:26:01"",""2023-03-10 18:26:01""]","{""src"": ""ip_activity""}"
activity_flows,20.50.201.195,1,1,"[""2023-03-10 18:20:14"",""2023-03-10 18:20:14""]","{""src"": ""ip_activity""}"
activity_bytes,20.50.201.195,5547,1,"[""2023-03-10 18:20:14"",""2023-03-10 18:20:14""]","{""src"": ""ip_activity""}"
activity_flows,10.100.54.99,105,1,"[""2023-03-10 18:26:09"",""2023-03-10 18:26:09""]","{""src"": ""ip_activity""}"
activity_bytes,10.100.54.99,16691267,1,"[""2023-03-10 18:26:09"",""2023-03-10 18:26:09""]","{""src"": ""ip_activity""}"
activity_flows,10.100.54.100,61,1,"[""2023-03-10 18:26:09"",""2023-03-10 18:26:09""]","{""src"": ""ip_activity""}"
activity_bytes,10.100.54.100,2848,1,"[""2023-03-10 18:26:09"",""2023-03-10 18:26:09""]","{""src"": ""ip_activity""}"
activity_flows,10.100.56.51,48,1,"[""2023-03-10 18:25:50"",""2023-03-10 18:25:50""]","{""src"": ""ip_activity""}"
activity_bytes,10.100.56.51,22775,1,"[""2023-03-10 18:25:50"",""2023-03-10 18:25:50""]","{""src"": ""ip_activity""}"
activity_flows,10.100.34.242,80,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""ip_activity""}"
activity_bytes,10.100.34.242,43735360,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""ip_activity""}"
activity_flows,10.100.55.21,16,1,"[""2023-03-10 18:25:58"",""2023-03-10 18:25:58""]","{""src"": ""ip_activity""}"
activity_bytes,10.100.55.21,976,1,"[""2023-03-10 18:25:58"",""2023-03-10 18:25:58""]","{""src"": ""ip_activity""}"
activity_flows,78.108.96.197,5,1,"[""2023-03-10 18:22:57"",""2023-03-10 18:22:57""]","{""src"": ""ip_activity""}"
activity_bytes,78.108.96.197,380,1,"[""2023-03-10 18:22:57"",""2023-03-10 18:22:57""]","{""src"": ""ip_activity""}"
activity_flows,10.100.56.50,27,1,"[""2023-03-10 18:25:47"",""2023-03-10 18:25:47""]","{""src"": ""ip_activity""}"
activity_bytes,10.100.56.50,10615,1,"[""2023-03-10 18:25:47"",""2023-03-10 18:25:47""]","{""src"": ""ip_activity""}"
activity_flows,10.100.24.65,93,1,"[""2023-03-10 18:25:49"",""2023-03-10 18:25:49""]","{""src"": ""ip_activity""}"
activity_bytes,10.100.24.65,20694,1,"[""2023-03-10 18:25:49"",""2023-03-10 18:25:49""]","{""src"": ""ip_activity""}"
activity_flows,10.100.24.58,10,1,"[""2023-03-10 18:25:24"",""2023-03-10 18:25:24""]","{""src"": ""ip_activity""}"
activity_bytes,10.100.24.58,580,1,"[""2023-03-10 18:25:24"",""2023-03-10 18:25:24""]","{""src"": ""ip_activity""}"
activity_flows,10.100.64.21,89,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""ip_activity""}"
activity_bytes,10.100.64.21,1629123,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""ip_activity""}"
activity_flows,10.100.16.30,58,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""ip_activity""}"
activity_bytes,10.100.16.30,482958,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""ip_activity""}"
activity_flows,10.100.36.1,21,1,"[""2023-03-10 18:22:01"",""2023-03-10 18:22:01""]","{""src"": ""ip_activity""}"
activity_bytes,10.100.36.1,125720,1,"[""2023-03-10 18:22:01"",""2023-03-10 18:22:01""]","{""src"": ""ip_activity""}"
activity_flows,162.159.200.1,46,1,"[""2023-03-10 18:26:05"",""2023-03-10 18:26:05""]","{""src"": ""ip_activity""}"
activity_bytes,162.159.200.1,13300,1,"[""2023-03-10 18:26:05"",""2023-03-10 18:26:05""]","{""src"": ""ip_activity""}"
activity_flows,192.168.55.12,69,1,"[""2023-03-10 18:25:59"",""2023-03-10 18:25:59""]","{""src"": ""ip_activity""}"
activity_bytes,192.168.55.12,206361,1,"[""2023-03-10 18:25:59"",""2023-03-10 18:25:59""]","{""src"": ""ip_activity""}"
activity_flows,192.168.55.104,74,1,"[""2023-03-10 18:26:09"",""2023-03-10 18:26:09""]","{""src"": ""ip_activity""}"
activity_bytes,192.168.55.104,196136,1,"[""2023-03-10 18:26:09"",""2023-03-10 18:26:09""]","{""src"": ""ip_activity""}"
activity_flows,77.48.28.248,75,1,"[""2023-03-10 18:25:11"",""2023-03-10 18:25:11""]","{""src"": ""ip_activity""}"
activity_bytes,77.48.28.248,21508,1,"[""2023-03-10 18:25:11"",""2023-03-10 18:25:11""]","{""src"": ""ip_activity""}"
