"FlowKey","LocalAddress","LocalPort","RemoteAddress","RemotePort","State","ProcessName","CreationTime","CurrentTime"
"TCP@192.168.111.32:3389-192.168.8.3:59937","192.168.111.32","3389","192.168.8.3","59937","Established",,"10/16/2021 4:53:52 PM","10/16/2021 5:40:11 PM"
"TCP@192.168.111.32:49992-172.217.23.226:443","192.168.111.32","49992","172.217.23.226","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:35:41 PM","10/16/2021 5:35:58 PM"
"TCP@192.168.111.32:50003-140.82.121.6:443","192.168.111.32","50003","140.82.121.6","443","Established","C:\Users\Rysavy\AppData\Local\GitHubDesktop\app-2.9.3\GitHubDesktop.exe","10/16/2021 5:35:47 PM","10/16/2021 5:35:48 PM"
"TCP@192.168.111.32:50022-172.217.23.237:443","192.168.111.32","50022","172.217.23.237","443","Established","C:\Program Files\Google\Drive File Stream\51.0.16.0\GoogleDriveFS.exe","10/16/2021 5:35:55 PM","10/16/2021 5:39:50 PM"
"TCP@192.168.111.32:50025-172.217.23.234:443","192.168.111.32","50025","172.217.23.234","443","Established","C:\Program Files\Google\Drive File Stream\51.0.16.0\GoogleDriveFS.exe","10/16/2021 5:35:55 PM","10/16/2021 5:38:26 PM"
"TCP@192.168.111.32:50037-20.54.232.160:443","192.168.111.32","50037","20.54.232.160","443","Established","C:\WINDOWS\system32\svchost.exe","10/16/2021 5:36:00 PM","10/16/2021 5:37:01 PM"
"TCP@192.168.111.32:50072-20.199.120.182:443","192.168.111.32","50072","20.199.120.182","443","Established",,"10/14/2021 10:36:43 PM","10/16/2021 5:38:47 PM"
"TCP@192.168.111.32:50073-13.69.106.212:443","192.168.111.32","50073","13.69.106.212","443","Established","C:\Program Files\PowerShell\7\pwsh.exe","10/16/2021 5:36:15 PM","10/16/2021 5:37:01 PM"
"TCP@192.168.111.32:50373-172.217.23.227:443","192.168.111.32","50373","172.217.23.227","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:37:13 PM","10/16/2021 5:39:08 PM"
"TCP@192.168.111.32:50388-13.69.106.212:443","192.168.111.32","50388","13.69.106.212","443","Established","C:\Program Files\PowerShell\7\pwsh.exe","10/16/2021 5:37:19 PM","10/16/2021 5:39:39 PM"
"TCP@192.168.111.32:50463-13.69.106.217:443","192.168.111.32","50463","13.69.106.217","443","Established","C:\Program Files\PowerShell\7\pwsh.exe","10/16/2021 3:25:30 AM","10/16/2021 5:37:33 PM"
"TCP@192.168.111.32:50473-192.168.111.20:22","192.168.111.32","50473","192.168.111.20","22","Established","C:\Windows\System32\OpenSSH\ssh.exe","10/16/2021 5:37:59 PM","10/16/2021 5:38:05 PM"
"TCP@192.168.111.32:50517-23.47.212.11:443","192.168.111.32","50517","23.47.212.11","443","CloseWait","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.21092.10731.0_x64__8wekyb3d8bbwe\Video.UI.exe","10/16/2021 12:45:42 PM","10/16/2021 5:39:29 PM"
"TCP@192.168.111.32:52080-65.9.98.231:443","192.168.111.32","52080","65.9.98.231","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:36:30 PM","10/16/2021 5:37:33 PM"
"TCP@192.168.111.32:52093-192.168.111.20:22","192.168.111.32","52093","192.168.111.20","22","Established","C:\Windows\System32\OpenSSH\ssh.exe","10/16/2021 5:36:37 PM","10/16/2021 5:36:40 PM"
"TCP@192.168.111.32:52116-20.82.19.171:443","192.168.111.32","52116","20.82.19.171","443","Established",,"10/16/2021 5:36:48 PM","10/16/2021 5:37:33 PM"
"TCP@192.168.111.32:53501-172.217.23.202:443","192.168.111.32","53501","172.217.23.202","443","Established","C:\Program Files\Google\Drive File Stream\51.0.16.0\GoogleDriveFS.exe","10/15/2021 11:49:32 PM","10/16/2021 5:35:27 PM"
"TCP@192.168.111.32:54632-172.217.23.238:443","192.168.111.32","54632","172.217.23.238","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:39:34 PM","10/16/2021 5:39:39 PM"
"TCP@192.168.111.32:54739-216.58.201.74:443","192.168.111.32","54739","216.58.201.74","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:34:33 PM","10/16/2021 5:35:27 PM"
"TCP@192.168.111.32:56607-20.199.120.151:443","192.168.111.32","56607","20.199.120.151","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/15/2021 10:45:52 AM","10/16/2021 5:39:39 PM"
"TCP@192.168.111.32:57019-52.166.127.37:9354","192.168.111.32","57019","52.166.127.37","9354","Established","C:\Program Files\Microsoft Visual Studio\2022\Preview\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.SettingsHost.exe","10/15/2021 10:30:29 PM","10/16/2021 5:36:30 PM"
"TCP@192.168.111.32:57894-13.69.106.215:443","192.168.111.32","57894","13.69.106.215","443","Established","C:\Program Files\PowerShell\7\pwsh.exe","10/16/2021 5:24:13 PM","10/16/2021 5:39:39 PM"
"TCP@192.168.111.32:58329-192.168.111.20:22","192.168.111.32","58329","192.168.111.20","22","Established","C:\Windows\System32\OpenSSH\ssh.exe","10/16/2021 4:57:42 PM","10/16/2021 5:39:50 PM"
"TCP@192.168.111.32:60770-20.199.120.151:443","192.168.111.32","60770","20.199.120.151","443","Established","C:\Users\Rysavy\AppData\Local\Microsoft\OneDrive\OneDrive.exe","10/16/2021 2:43:49 PM","10/16/2021 5:37:12 PM"
"TCP@192.168.111.32:61224-65.9.98.95:443","192.168.111.32","61224","65.9.98.95","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:31:30 PM","10/16/2021 5:35:27 PM"
"TCP@192.168.111.32:61250-192.168.111.20:22","192.168.111.32","61250","192.168.111.20","22","Established","C:\Windows\System32\OpenSSH\ssh.exe","10/16/2021 5:31:43 PM","10/16/2021 5:35:48 PM"
"TCP@192.168.111.32:61377-52.236.186.218:443","192.168.111.32","61377","52.236.186.218","443","Established","C:\Program Files\PowerShell\7\pwsh.exe","10/16/2021 5:32:43 PM","10/16/2021 5:35:27 PM"
"TCP@192.168.111.32:64277-216.58.201.74:443","192.168.111.32","64277","216.58.201.74","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:39:25 PM","10/16/2021 5:39:39 PM"
"TCP@192.168.111.32:65460-152.199.19.161:443","192.168.111.32","65460","152.199.19.161","443","Established","C:\Program Files\Microsoft Visual Studio\2022\Preview\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.Host.CLR.x86.exe","10/16/2021 5:33:58 PM","10/16/2021 5:35:37 PM"
